Stock Symbol
TSM
TSMWF
INTC
ARM
AVGO
QCOM
PDD
ETSY
ANET
^GSPC
TSM
INTC
PLTR
ETSY
GRMN
CDNS
SIRI
TOL
AXON
HRMY
CNK
ANET
META
FOUR
PSN
AXON
LKNCY
CSX
NSC
HI
IMPUY
DOCN
TME
ULTA
WMS
MNDY
NXE
TKO
TDW
ICAGY
LITE
NGLOY
LYFT
YY
ANF
EAT
BLKB
ALKT
SHAK
WAY
JEF
DB
TOST
HRI
MATX
BOOT
RIVN
TTD
YOU
OLLI
URBN
SIGI
ROKU
RMBS
CAMT
VWAGY
ARCB
CAE
FG
SON
BB
UPST
CLBT
RSI
QFIN
FA
HXL
IOT
ATLKY
FLYW
GDDY
TGS
SMR
ULCC
WLK
BDORY
CIEN
BILL
ONON
GRND
MLCO
TWLO
BNTX
EADSY
ALIZY
GME
OSW
PRIM
SIEGY
RBLX
WTBDY
FICO
CGEMY
ECG
NEU
WSO
ATKR
AS
UNVGY
MTCH
PUK
PENN
INTR
CMC
FND
SKYW
BILI
CWAN
CCJ
STLA
INTC
RIVN
CAG
ETSY
CVNA
^GSPC
HOOD
TWLO
SIEGY
RIVN
TSLA
DOCN
KRYS
MIRM
EAT
BA
HWM
EADSY
BMBL
MTCH
WWW
BOOT
DECK
SIEGY
ALTR
HRI
AAPL
NKLA
ULTA
GME
F
GM
MSFT
WSO-B
URI
HEES
HRI
RSI
RSI
BLKB
LBNW
NVDA
DVN
ZUUZF
XOM
^GSPC
BMBL
CMCSA
^GSPC
PRGO
MSFT
NKLA
PDD
OPWEF
LBNW
NVDA
DVN
ZUUZF
XOM
^GSPC
BMBL
CMCSA
^GSPC
PRGO
MSFT
NKLA
PDD
OPWEF
