Ticker,Last Price,Market Cap,PE Ratio,EPS,Revenue,Net Income,Dividend Yield,52 Week High,52 Week Low,Beta,Volume,Average Volume,Sector,Industry
CDNS,274.760009765625,75356504064.0,71.552086,3.84,4089986000.0,1041144000.0,,328.99,241.29,1.032,1126029.0,1629708.0,Technology,Software - Application
COF,201.44000244140625,76794978304.0,17.39551,11.58,36787000000.0,4887000000.0,1.14,210.67,128.23,1.473,1441717.0,2948876.0,Financial Services,Credit Services
LI,26.204999923706055,28247939072.0,19.703007,1.33,123851332000.0,11704133000.0,,46.44,17.44,0.912,1751305.0,4892020.0,Consumer Cyclical,Auto Manufacturers
SHOP,121.63999938964844,157941022720.0,78.987015,1.54,8880000000.0,2019000000.0,,129.38,48.56,2.471,4341485.0,7320418.0,Technology,Software - Application
TME,12.920000076293945,22827442176.0,24.37736,0.53,27752000000.0,4920000000.0,1.05,15.77,9.145,0.688,2511373.0,6781955.0,Communication Services,Internet Content & Information
BA,180.9550018310547,135740891136.0,,-18.35,66517000000.0,-11817000000.0,,208.1,137.03,1.524,3545533.0,9147520.0,Industrials,Aerospace & Defense
ORCL,175.0915069580078,489723953152.0,42.914585,4.08,52961000000.0,10467000000.0,0.88,198.31,109.66,1.049,3839909.0,10901245.0,Technology,Software - Infrastructure
FCX,38.89500045776367,55894835200.0,29.919231,1.3,25455000000.0,1889000000.0,1.56,55.24,34.89,1.848,3953203.0,13130901.0,Basic Materials,Copper
C,81.20999908447266,152439291904.0,13.64874,5.95,78486000000.0,9228000000.0,2.67,84.74,53.51,1.429,5830812.0,14226445.0,Financial Services,Banks - Diversified
DIS,109.69999694824219,198314557440.0,35.616882,3.08,91361000000.0,4972000000.0,0.9,123.74,83.91,1.427,2001697.0,8201188.0,Communication Services,Entertainment
BILI,22.21500015258789,9572488192.0,,-0.91,22527987000.0,-4822321000.0,,31.77,9.63,0.805,18981368.0,5865071.0,Communication Services,Electronic Gaming & Multimedia
MRNA,34.41999816894531,13245433856.0,,-9.28,6754000000.0,-4714000000.0,,170.47,29.25,1.585,4211195.0,10743510.0,Healthcare,Biotechnology
JD,41.209999084472656,67202793472.0,13.293549,3.1,1084662000000.0,24167000000.0,1.94,47.82,21.18,0.411,12909479.0,10468886.0,Consumer Cyclical,Internet Retail
NEM,48.08000183105469,54736678912.0,,-2.19,11812000000.0,-2494000000.0,2.11,58.72,29.42,0.534,3893584.0,9449569.0,Basic Materials,Gold
KHC,30.014999389648438,35867623424.0,13.280973,2.26,25846000000.0,2744000000.0,5.37,38.96,27.25,0.456,2400569.0,10327310.0,Consumer Defensive,Packaged Foods
